"origin","dest","delay","carrier","air_time","weekend"
"JFK","SJC",1,0,5.9167,1
"JFK","MCO",1,0,2.25,1
"JFK","SEA",0,0,5.7,1
"JFK","FLL",1,0,2.5833,1
"JFK","SAN",0,1,5.6167,1
"JFK","PHX",0,1,4.9,1
"JFK","LAS",1,0,5.1333,1
"JFK","TPA",1,1,2.3,1
"JFK","SFO",1,1,5.75,1
"JFK","MCO",1,1,2.2,1
"JFK","BUF",1,0,0.9667,1
"JFK","SEA",1,1,5.4167,1
"JFK","SJU",0,1,3.3833,1
"JFK","LAS",0,1,5.1333,1
"JFK","SMF",0,0,6,1
"JFK","MCO",0,0,2.2667,1
"JFK","TPA",1,0,2.6333,1
"JFK","ABQ",0,0,4.1667,1
"JFK","FLL",0,1,2.35,1
"JFK","FLL",0,0,2.4,1
"JFK","SJU",1,0,3.2667,1
"JFK","SLC",1,1,4.6,1
"JFK","DEN",1,1,3.75,1
"JFK","BOS",1,1,0.5833,1
"JFK","SFO",1,0,5.9333,1
"JFK","LAX",1,1,5.7,1
"JFK","BOS",1,0,0.65,1
"JFK","LAX",0,0,5.6333,1
"JFK","AUS",0,0,3.6667,1
"JFK","RSW",1,0,2.5167,1
"JFK","ORD",0,0,1.9,1
"JFK","MSY",0,0,2.9167,1
"JFK","JAX",0,0,2,1
"JFK","PBI",1,0,2.3167,1
"JFK","SLC",1,0,4.8,1
"JFK","MCO",1,0,2.45,1
"JFK","BOS",1,1,0.7333,1
"JFK","DEN",0,0,3.9167,1
"JFK","BUF",0,0,0.9167,1
"JFK","PDX",1,0,5.8833,1
"JFK","TPA",0,0,2.25,1
"JFK","FLL",0,0,2.45,1
"JFK","LAS",1,0,5.2,1
"JFK","MCO",1,0,2.2,1
"JFK","ROC",0,0,0.8167,1
"JFK","PWM",0,0,0.7833,1
"JFK","BUF",0,0,0.95,1
"JFK","BOS",0,0,0.65,1
"JFK","SYR",1,0,0.7167,1
"JFK","SJU",0,0,3.2333,1
"JFK","SYR",1,0,0.5833,0
"JFK","BQN",0,0,3.0667,0
"JFK","PBI",0,0,2.45,0
"JFK","SJU",0,0,3.1667,0
"JFK","FLL",0,0,2.5333,0
"JFK","MCO",1,0,2.3833,0
"JFK","RSW",0,0,2.7333,0
"JFK","TPA",0,0,2.4833,0
"JFK","MSY",0,0,2.7,0
"JFK","BOS",0,0,0.6167,0
"JFK","PBI",0,0,2.4667,0
"JFK","LAX",0,1,5.7,0
"JFK","BUF",0,0,0.9833,0
"JFK","SJU",0,0,3.1667,0
"JFK","LAX",0,0,5.75,0
"JFK","SFO",0,1,6.15,0
"JFK","SJU",1,1,3.1167,0
"JFK","SLC",1,1,4.7,0
"JFK","JAX",0,0,2.1667,0
"JFK","RDU",0,0,1.1333,0
"JFK","SRQ",0,0,2.5,0
"JFK","SEA",0,1,5.5667,0
"JFK","CHS",0,0,1.6333,0
"JFK","IAD",0,0,0.75,0
"JFK","BOS",0,0,0.5333,0
"JFK","MCO",0,1,2.3,0
"JFK","MIA",0,1,2.5333,0
"JFK","TPA",0,1,2.3667,0
"JFK","MCO",0,0,2.45,0
"JFK","SAN",0,1,5.4,0
"JFK","HOU",0,0,3.2667,0
"JFK","LAS",0,1,5.25,0
"JFK","CLT",0,0,1.4167,0
"JFK","FLL",1,1,2.5333,0
"JFK","ATL",0,1,1.8,0
"JFK","TPA",0,0,2.4667,0
"JFK","AUS",0,0,3.5167,0
"JFK","SFO",0,0,6.2167,0
"JFK","ORD",1,0,1.8667,0
"JFK","SJU",0,1,3.2333,0
"JFK","FLL",0,0,2.7167,0
"JFK","SAN",0,0,5.4167,0
"JFK","PWM",0,0,0.8333,0
"JFK","LAX",0,1,5.7,0
"JFK","BTV",0,0,0.7833,0
"JFK","PBI",1,0,2.4667,0
"JFK","ROC",0,0,0.7667,0
"JFK","LAX",0,0,5.6,0
"JFK","SYR",1,0,0.7167,0
"JFK","MCO",0,0,2.3167,0
"JFK","BOS",0,0,0.55,0
"JFK","SFO",0,1,6.0667,0
"JFK","LAS",0,0,5.2833,0
"JFK","RSW",1,0,2.5167,0
"JFK","FLL",0,0,2.6167,0
"JFK","TPA",0,0,2.4167,0
"JFK","LAS",0,1,5.1833,0
"JFK","BUF",0,0,0.9667,0
"JFK","SJU",1,0,3.3,0
"JFK","MCO",0,1,2.3167,0
"JFK","SLC",0,1,4.7667,0
"JFK","BOS",1,0,0.55,0
"JFK","LAX",0,0,5.6,0
"JFK","PBI",0,0,2.5167,0
"JFK","SYR",0,0,0.7333,0
"JFK","LAX",0,1,5.6167,0
"JFK","BUF",0,0,0.8833,0
"JFK","RSW",0,0,2.5333,0
"JFK","BOS",0,0,0.6,0
"JFK","MCO",1,0,2.3167,0
"JFK","SLC",0,1,4.7667,0
"JFK","ATL",0,1,1.8,0
"JFK","LAX",0,0,5.75,0
"JFK","BTV",0,0,0.7167,0
"JFK","SFO",0,1,6.1167,0
"JFK","PBI",1,0,2.5833,0
"JFK","PWM",0,0,0.85,0
"JFK","BUF",1,0,0.9167,0
"JFK","LGB",0,0,5.8833,0
"JFK","FLL",0,0,2.5833,0
"JFK","CHS",1,0,1.6333,0
"JFK","MSY",0,0,2.75,0
"JFK","HOU",0,0,3.35,0
"JFK","ROC",0,0,0.8167,0
"JFK","TPA",0,0,2.35,0
"JFK","MCO",0,0,2.3333,0
"JFK","BOS",1,0,0.5667,0
"JFK","SJU",1,1,3.3167,0
"JFK","JAX",1,0,2.1,0
"JFK","SEA",0,1,5.4167,0
"JFK","LAS",1,1,5.4333,0
"JFK","SJU",1,0,3.3833,0
"JFK","RSW",0,0,2.4833,0
"JFK","MCO",0,0,2.2667,0
"JFK","LAX",0,1,6.0167,0
"JFK","FLL",0,0,2.4833,0
"JFK","SLC",0,1,5.0667,0
"JFK","MCO",0,1,2.1833,0
"JFK","FLL",1,1,2.4167,0
"JFK","PBI",0,0,2.3667,0
"JFK","ATL",1,1,1.8167,0
"JFK","BUF",0,0,1,0
"JFK","SFO",1,1,6.6167,0
"JFK","PDX",0,1,5.6667,0
"JFK","BOS",1,1,0.6333,0
"JFK","LAX",0,0,5.6,0
"JFK","LAX",0,1,5.65,0
"JFK","MIA",1,1,2.4333,0
"JFK","SAN",0,0,6.0167,0
"JFK","MCO",1,0,2.2167,0
"JFK","BTV",0,0,0.7667,0
"JFK","FLL",0,0,2.55,0
"JFK","AUS",0,1,3.5667,0
"JFK","CLT",0,0,1.6333,0
"JFK","BOS",1,0,0.5833,0
"JFK","OAK",1,0,6.3833,0
"JFK","RDU",0,0,1.1,0
"JFK","BUR",0,0,6.0833,0
"JFK","SFO",0,0,6.4333,0
"JFK","SFO",1,1,6.25,0
"JFK","PHX",0,0,5.0333,0
"JFK","IAD",0,0,0.8167,0
"JFK","LAS",0,1,5.4167,0
"JFK","LAX",0,1,5.7333,0
"JFK","LGB",1,0,5.7833,0
"JFK","DTW",0,1,1.4167,0
"JFK","MCO",0,0,2.2,0
"JFK","MIA",0,1,2.4167,0
"JFK","ATL",1,1,1.7833,0
"JFK","SEA",1,1,5.45,0
"JFK","BUF",0,0,0.95,0
"JFK","TPA",0,1,2.3667,0
"JFK","SEA",0,0,5.4833,0
"JFK","SAN",0,1,5.8167,0
"JFK","PHX",0,1,5.0167,0
"JFK","SJC",1,0,6.2833,0
"JFK","MCO",0,1,2.1167,0
"JFK","SJU",0,1,3.4167,0
"JFK","LAS",1,0,5.4,0
"JFK","SLC",1,0,4.9,0
"JFK","SFO",1,1,6.2833,0
"JFK","SMF",1,0,6.15,0
"JFK","FLL",1,0,2.4,0
"JFK","LAS",1,1,5.3333,0
"JFK","TPA",1,0,2.3,0
"JFK","FLL",0,1,2.35,0
"JFK","ABQ",0,0,4.4333,0
"JFK","MCO",0,0,2.1,0
"JFK","SJU",1,0,3.5667,0
"JFK","DEN",1,1,3.95,0
"JFK","SFO",1,0,6.4667,0
"JFK","FLL",1,0,2.4333,0
"JFK","LAX",1,1,5.8,0
"JFK","BOS",1,0,0.5667,0
"JFK","PDX",0,0,5.85,0
"JFK","SAT",1,1,3.6333,0
"JFK","AUS",0,0,3.6,0
"JFK","RSW",0,0,2.4333,0
"JFK","BOS",0,1,0.65,0
"JFK","MSY",0,0,2.7833,0
"JFK","LAX",1,0,6,0
"JFK","JAX",0,0,1.9833,0
"JFK","PBI",1,0,2.35,0
"JFK","SLC",1,1,4.7667,0
"JFK","ORD",1,0,2,0
"JFK","DEN",1,0,3.9333,0
"JFK","BUF",0,0,0.95,0
"JFK","TPA",0,0,2.35,0
"JFK","LAS",1,0,5.5167,0
"JFK","MCO",0,0,2.1667,0
"JFK","BTV",0,0,0.7,0
"JFK","ROC",1,0,0.85,0
"JFK","PWM",0,0,0.7833,0
"JFK","BUF",0,0,0.8833,0
"JFK","BOS",0,0,0.65,0
"JFK","PSE",0,0,3.7667,0
"JFK","SJU",0,0,3.6167,0
"JFK","BQN",0,0,3.5667,0
"JFK","BQN",0,0,3.3333,0
"JFK","PBI",0,0,2.45,0
"JFK","FLL",0,0,2.4833,0
"JFK","ATL",0,1,1.9333,0
"JFK","SJU",0,0,3.35,0
"JFK","ATL",0,1,2,0
"JFK","RSW",0,0,2.65,0
"JFK","TPA",0,0,2.3167,0
"JFK","MSY",0,0,2.7833,0
"JFK","BOS",0,0,0.6,0
"JFK","SJU",0,1,3.25,0
"JFK","LAX",0,0,5.8833,0
"JFK","ORD",0,0,2.2,0
"JFK","SFO",0,1,6.25,0
"JFK","SJU",0,0,3.4667,0
"JFK","LAX",0,1,6.15,0
"JFK","SLC",1,1,5.0667,0
"JFK","BUF",0,0,0.9667,0
"JFK","JAX",0,0,2.0333,0
"JFK","RDU",0,0,1.1667,0
"JFK","SRQ",0,0,2.3667,0
"JFK","SEA",1,1,5.4,0
"JFK","IAD",0,0,0.7667,0
"JFK","CHS",0,0,1.5333,0
"JFK","MIA",0,1,2.4667,0
"JFK","TPA",0,1,2.2667,0
"JFK","MCO",0,1,2.1167,0
"JFK","MCO",0,0,2.1333,0
"JFK","LAS",0,1,5.45,0
"JFK","HOU",0,0,3.5,0
"JFK","ATL",0,1,1.8833,0
"JFK","CLT",0,0,1.4333,0
"JFK","TPA",0,0,2.3167,0
"JFK","SFO",0,0,6.6667,0
"JFK","SAN",0,0,5.95,0
"JFK","FLL",0,0,2.4167,0
"JFK","SJU",0,1,3.2667,0
"JFK","LAX",0,1,6.2333,0
"JFK","PWM",0,0,0.8333,0
"JFK","PBI",0,0,2.3,0
"JFK","BTV",0,0,0.7833,0
"JFK","ROC",0,0,0.7667,0
"JFK","MCO",1,0,2.1833,0
"JFK","SYR",0,0,0.7167,0
"JFK","LAX",1,0,6.1,0
"JFK","MCO",0,0,2.2167,0
"JFK","AUS",1,0,3.5333,0
"JFK","LAS",0,0,5.6333,0
"JFK","SFO",0,1,6.1833,0
"JFK","ATL",0,1,2,0
"JFK","SJU",1,0,3.4667,0
"JFK","BOS",0,0,0.5667,0
"JFK","LAS",0,1,5.5667,0
"JFK","BUF",0,0,0.9167,0
"JFK","PBI",0,0,2.3833,0
"JFK","FLL",1,0,2.4167,0
"JFK","SLC",0,1,5,0
"JFK","FLL",1,1,2.4667,0
"JFK","SYR",0,0,0.6833,0
"JFK","BUF",0,0,0.9667,0
"JFK","LAX",1,1,6.2667,0
"JFK","RSW",0,0,2.5333,0
"JFK","LAX",1,0,6.1167,0
"JFK","PBI",1,0,2.4333,0
"JFK","MIA",0,1,2.4,0
"JFK","BOS",1,0,0.55,0
"JFK","ATL",0,1,2.0333,0
"JFK","SFO",0,1,6.3333,0
"JFK","PBI",0,0,2.3833,0
"JFK","BTV",1,0,0.75,0
"JFK","PWM",0,0,0.8167,0
"JFK","FLL",1,0,2.4833,0
"JFK","BUF",1,0,0.9167,0
"JFK","MCO",1,0,2.1833,0
"JFK","LGB",0,0,6.1,0
"JFK","ROC",0,0,0.8667,0
"JFK","MSY",1,0,2.8333,0
"JFK","HOU",0,0,3.5,0
"JFK","CHS",1,0,1.5167,0
"JFK","MCO",0,0,2.2333,0
"JFK","TPA",1,0,2.35,0
"JFK","JAX",0,0,2.0667,0
"JFK","SJU",0,1,3.35,0
"JFK","SJU",1,0,3.2667,0
"JFK","LAS",1,1,5.7667,0
"JFK","FLL",1,0,2.6833,0
"JFK","SEA",0,1,5.4833,0
"JFK","BOS",1,0,0.65,0
"JFK","MCO",1,0,2.25,0
"JFK","FLL",0,0,2.6333,0
"JFK","SLC",0,1,5.35,0
"JFK","MCO",0,1,2.25,0
"JFK","FLL",0,1,2.6667,0
"JFK","SFO",1,1,6.3667,0
"JFK","LAX",1,1,5.9833,0
"JFK","SAN",0,0,6.0167,0
"JFK","MIA",0,1,2.65,0
"JFK","PDX",0,1,5.65,0
"JFK","LAX",0,0,6.2333,0
"JFK","BUF",0,0,1.0167,0
"JFK","ATL",1,1,2,0
"JFK","LAX",0,1,6.2,0
"JFK","BOS",0,0,0.5667,0
"JFK","BTV",1,0,0.8167,0
"JFK","OAK",0,0,6.2833,0
"JFK","AUS",0,1,3.6333,0
"JFK","RSW",1,0,2.55,0
"JFK","PBI",0,0,2.6,0
"JFK","MCO",1,0,2.3333,0
"JFK","SFO",0,0,6.2667,0
"JFK","RDU",0,0,1.1667,0
"JFK","PHX",0,0,5.3333,0
"JFK","IAD",0,0,0.7167,0
"JFK","BUR",1,0,6.15,0
"JFK","LGB",0,0,6.15,0
"JFK","MSP",0,1,2.65,0
"JFK","LAX",0,1,6.2333,0
"JFK","DTW",0,1,1.45,0
"JFK","SJC",0,0,6.5167,0
"JFK","MCO",1,0,2.2,0
"JFK","SAN",1,1,6.3333,0
"JFK","BUF",0,0,0.9667,0
"JFK","SEA",1,1,5.4,0
"JFK","TPA",0,1,2.3833,0
"JFK","SEA",0,0,5.6167,0
"JFK","SAT",0,1,3.7833,0
"JFK","SFO",0,1,6.2667,0
"JFK","ATL",1,1,1.9,0
"JFK","FLL",1,0,2.4333,0
"JFK","MCO",0,1,2.2167,0
"JFK","LAS",1,0,5.5833,0
"JFK","PHX",1,1,5.3,0
"JFK","SJU",0,1,3.3667,0
"JFK","SLC",0,1,5.1167,0
"JFK","SMF",0,0,6.0833,0
"JFK","TPA",1,0,2.3167,0
"JFK","CLT",1,0,1.4,0
"JFK","LAS",0,1,5.6833,0
"JFK","MCO",0,0,2.2,0
"JFK","FLL",0,0,2.4833,0
"JFK","BOS",0,0,0.5833,0
"JFK","LAX",0,1,6.0167,0
"JFK","SFO",0,0,6.2833,0
"JFK","ABQ",1,0,4.75,0
"JFK","SLC",1,0,5.1833,0
"JFK","PDX",0,0,5.6833,0
"JFK","LAX",0,0,6.1333,0
"JFK","DEN",1,1,4.2167,0
"JFK","JAX",0,0,2.0167,0
"JFK","ORD",0,0,2.1333,0
"JFK","AUS",1,0,3.6333,0
"JFK","SJU",1,0,3.1833,0
"JFK","BUF",0,0,1,0
"JFK","TPA",0,0,2.2833,0
"JFK","BOS",1,1,0.55,0
"JFK","MCO",0,0,2.1833,0
"JFK","FLL",1,0,2.2833,0
"JFK","BTV",0,0,0.8,0
"JFK","ROC",0,0,0.8333,0
"JFK","SYR",0,0,0.6833,0
"JFK","BUF",0,0,0.9667,0
"JFK","BOS",0,0,0.6,0
"JFK","PWM",1,0,0.8,0
"JFK","BQN",0,0,3.25,0
"JFK","SJU",0,0,3.2333,0
"JFK","PSE",0,0,3.4,0
"JFK","BQN",0,0,3.3667,0
"JFK","PBI",0,0,2.2,0
"JFK","MCO",1,0,2.1167,0
"JFK","SJU",0,0,3.3,0
"JFK","ATL",0,1,1.9333,0
"JFK","FLL",1,0,2.4,0
"JFK","RSW",0,0,2.4,0
"JFK","MSY",0,0,2.8,0
"JFK","BOS",0,0,0.7,0
"JFK","SJU",0,1,3.2,0
"JFK","LAX",0,1,6.3667,0
"JFK","ORD",0,0,2.3167,0
"JFK","SJU",0,0,3.2833,0
"JFK","LAX",0,0,6.2,0
"JFK","SFO",0,1,6.5,0
"JFK","SLC",1,1,5.0667,0
"JFK","BUF",0,0,0.9333,0
"JFK","JAX",0,0,2.0333,0
"JFK","RDU",0,0,1.1667,0
"JFK","SEA",0,1,5.7333,0
"JFK","SRQ",0,0,2.3667,0
"JFK","IAD",0,0,0.8,0
"JFK","MCO",0,1,2.0833,0
"JFK","CHS",0,0,1.4333,0
"JFK","MIA",0,1,2.25,0
"JFK","TPA",0,1,2.2667,0
"JFK","MCO",0,0,2.15,0
"JFK","HOU",0,0,3.4667,0
"JFK","CLT",0,0,1.5333,0
"JFK","LAS",1,1,5.5167,0
"JFK","ATL",0,1,1.9333,0
"JFK","TPA",0,0,2.3,0
"JFK","AUS",0,0,3.7667,0
"JFK","SFO",0,0,6.6167,0
"JFK","LAX",0,1,6.15,0
"JFK","SJU",0,1,3.1333,0
"JFK","ROC",0,0,0.85,0
"JFK","SAN",0,0,6.15,0
"JFK","BTV",0,0,0.7833,0
"JFK","FLL",1,0,2.2667,0
"JFK","PWM",0,0,0.8667,0
"JFK","PBI",1,0,2.1833,0
"JFK","LAX",0,0,6.2833,0
"JFK","SYR",0,0,0.7833,0
"JFK","SJU",0,0,3.2,0
"JFK","MCO",0,0,2.1333,0
"JFK","SFO",0,1,6.4667,0
"JFK","LAS",1,0,5.75,0
"JFK","FLL",1,0,2.3,0
"JFK","LAS",0,1,5.6,0
"JFK","BUF",0,0,1.05,0
"JFK","SLC",0,1,5.0167,0
"JFK","FLL",0,1,2.4333,0
"JFK","LAX",0,0,6.2333,0
"JFK","LAX",0,1,6.1333,0
"JFK","SYR",1,0,0.75,0
"JFK","RSW",1,0,2.4167,0
"JFK","ROC",1,0,0.8333,0
"JFK","BOS",0,0,0.6667,0
"JFK","ATL",0,1,1.8167,0
"JFK","SFO",0,1,6.3,0
"JFK","MCO",1,0,2.0833,0
"JFK","BUF",0,0,0.9,0
"JFK","PWM",1,0,0.9,0
"JFK","PBI",1,0,2.25,0
"JFK","BOS",0,0,0.6167,0
"JFK","FLL",1,0,2.5,0
"JFK","CHS",0,0,1.5667,0
"JFK","FLL",1,0,2.4667,0
"JFK","MSY",1,0,2.8333,0
"JFK","ROC",0,0,0.8333,0
"JFK","JAX",0,0,1.9,0
"JFK","HOU",1,0,3.8667,0
"JFK","LAS",0,1,5.6333,0
"JFK","TPA",1,0,2.2667,0
"JFK","SJU",1,0,3.0833,0
"JFK","SJU",1,1,3,0
"JFK","SEA",0,1,5.6667,0
"JFK","LAX",0,1,6.3,0
"JFK","RSW",1,0,2.6167,0
"JFK","FLL",0,0,2.3,0
"JFK","SLC",0,1,5.05,0
"JFK","MCO",0,1,2.1,0
"JFK","SFO",0,1,6.1667,0
"JFK","FLL",0,1,2.35,0
"JFK","ATL",1,1,1.85,0
"JFK","BUF",0,0,0.9,0
"JFK","PDX",0,1,5.6,0
"JFK","MCO",1,0,2.05,0
"JFK","BTV",0,0,0.7833,0
"JFK","LAX",0,1,6.1667,0
"JFK","MIA",1,1,2.4,0
"JFK","AUS",0,1,3.6833,0
"JFK","BOS",1,0,0.5667,0
"JFK","CLT",0,0,1.3667,0
"JFK","MCO",1,0,2.1667,0
"JFK","SFO",1,0,6.3167,0
"JFK","PBI",1,0,2.4,0
"JFK","BUR",0,0,6.5167,0
"JFK","SFO",0,1,6.2,0
"JFK","IAD",0,0,0.8,0
"JFK","PHX",1,0,5.55,0
"JFK","RDU",1,0,1.0833,0
"JFK","LGB",0,0,6.4167,0
"JFK","LAX",0,1,6.2667,0
"JFK","ATL",1,1,1.85,0
"JFK","DTW",0,1,1.5333,0
"JFK","SJC",0,0,6.4167,0
"JFK","MIA",1,1,2.3,0
"JFK","BUF",0,0,0.95,0
"JFK","SEA",1,1,5.6,0
"JFK","FLL",1,0,2.25,0
"JFK","TPA",0,1,2.2833,0
"JFK","LAS",0,0,5.7333,0
"JFK","SAT",0,1,3.6833,0
"JFK","SFO",0,1,6.1833,0
"JFK","SAN",1,1,6.0167,0
"JFK","MCO",0,1,2.1,0
"JFK","MCO",1,0,2.0833,0
"JFK","SEA",1,0,5.6667,0
"JFK","SLC",0,0,4.9833,0
"JFK","SJU",0,1,2.9833,0
"JFK","PHX",1,1,5.4333,0
"JFK","SLC",0,1,4.8667,0
"JFK","TPA",1,0,2.1833,0
"JFK","MSP",1,1,2.6833,0
"JFK","FLL",0,0,2.3667,0
"JFK","LAS",1,1,5.8833,0
"JFK","SJU",1,0,2.9833,0
"JFK","MCO",1,0,2.0333,0
"JFK","LAX",0,1,6.2167,0
"JFK","PBI",0,0,2.15,0
"JFK","DEN",0,1,4.0833,0
"JFK","ABQ",1,0,4.7,0
"JFK","PDX",0,0,5.6833,0
"JFK","LAX",0,0,6.35,0
"JFK","AUS",0,0,3.7333,0
"JFK","JAX",0,0,1.9833,0
"JFK","BOS",0,1,0.5333,0
"JFK","ORD",0,0,2.1333,0
"JFK","MSY",0,0,3.0333,0
"JFK","BOS",1,0,0.7167,0
"JFK","BUF",1,0,0.9,0
"JFK","ROC",0,0,0.8667,0
"JFK","BTV",1,0,0.8,0
"JFK","PWM",0,0,0.7333,0
"JFK","SYR",0,0,0.7,0
"JFK","BUF",0,0,0.9167,0
"JFK","BOS",0,0,0.55,0
"JFK","SJU",0,0,3.05,0
"JFK","PSE",0,0,3.1,0
"JFK","BQN",0,0,2.9667,0
"JFK","ROC",1,0,1,0
"JFK","PSE",1,0,3.1,0
"JFK","BQN",1,0,2.9667,0
"JFK","BQN",0,0,2.9333,0
"JFK","SJU",0,0,3,0
"JFK","FLL",0,0,2.3,0
"JFK","LAS",0,0,5.75,0
"JFK","RSW",0,0,2.4833,0
"JFK","TPA",0,0,2.3333,0
"JFK","MSY",0,0,2.9,0
"JFK","LAX",0,0,6.2833,0
"JFK","SFO",0,1,6.35,0
"JFK","LAX",0,1,6.05,0
"JFK","ORD",0,0,2.35,0
"JFK","SLC",0,1,5.2167,0
"JFK","SJU",1,1,3,0
"JFK","BUF",0,0,0.9333,0
"JFK","SJU",0,0,3.0333,0
"JFK","BOS",1,0,0.5667,0
"JFK","JAX",0,0,1.9833,0
"JFK","RDU",0,0,1.15,0
"JFK","SRQ",0,0,2.5,0
"JFK","SEA",1,1,5.7333,0
"JFK","IAD",0,0,0.7667,0
"JFK","MIA",0,1,2.3667,0
"JFK","CHS",0,0,1.5833,0
"JFK","MCO",0,1,2.1833,0
"JFK","TPA",0,1,2.35,0
"JFK","FLL",0,1,2.3833,0
"JFK","LAS",0,1,5.6167,0
"JFK","HOU",0,0,3.6167,0
"JFK","MCO",1,0,2.1167,0
"JFK","CLT",0,0,1.7167,0
"JFK","ATL",0,1,1.8833,0
"JFK","TPA",0,0,2.3667,0
